Plan Name,Plan Price,Description,Network Speed,Data,Connected device data plan,"International data, talk, & text abroad",Device savings,Verizon Home Internet
5,23,"For a limited time, pay $5 $0 for an eSIM*** Available for new activations only.",6 GB Data at 4G Speed¹ 4G Speed¹ up to 100mbps Unlimited Canada-wide minutes and messaging plus unlimited international text and picture messaging³ Earn $1.15/month in points value with our Public Points™,,,,,
6,19,"For a limited time, pay $5 $0 for an eSIM*** Available for new activations only.",1 GB Data at 4G Speed¹ 4G Speed¹ up to 100mbps Unlimited Canada-wide minutes and messaging plus unlimited international text and picture messaging³ Earn $0.95/month in points value with our Public Pointsᵀᴹ,,,,,
,,,,,,,,
Add ons,,,,,,,,
In Canada Data Add-Ons⁵ Data add-ons expire 30 days post purchase 200 MB Data $5 1 GB Data $15,,,,,,,,
200 MB Data $5,,,,,,,,
1 GB Data $15,,,,,,,,
"US Roaming⁷ 15 day packages. Unlimited U.S. Talk, Text and 3GB Data Bundle $30 Unlimited U.S. Talk and Text Bundle $15 250 MB Data $10 1 GB Data $20 3 GB Data $25",,,,,,,,
"Unlimited U.S. Talk, Text and 3GB Data Bundle $30",,,,,,,,
Unlimited U.S. Talk and Text Bundle $15,,,,,,,,
250 MB Data $10,,,,,,,,
1 GB Data $20,,,,,,,,
3 GB Data $25,,,,,,,,
"In Canada Long Distance Add-Ons Any unused minutes will roll over to your next cycle. 300 International Long Distance Minutes Countries included in international long distance include: Australia, Austria, Bangladesh, Brazil, Chile, Colombia, Czech Republic, Denmark, France, Germany, Greece, Iceland, Ireland, Israel, Italy, Japan, South Korea, Malaysia, Mexico, Netherlands, New Zealand, Norway, Peru, Poland, Portugal, Puerto Rico, Romania, Singapore, Spain, Sweden, Thailand, Venezuela. Calls must originate from Canada. Any unused minutes will roll over to your next cycle. $15 1000 U.S. Long Distance Minutes⁶ $15 1000 U.K. Long Distance Minutes⁶ $15 750 India & Pakistan Long Distance Minutes $15 500 China, Hong Kong, Taiwan and Macau Long Distance Minutes $15",,,,,,,,
"300 International Long Distance Minutes Countries included in international long distance include: Australia, Austria, Bangladesh, Brazil, Chile, Colombia, Czech Republic, Denmark, France, Germany, Greece, Iceland, Ireland, Israel, Italy, Japan, South Korea, Malaysia, Mexico, Netherlands, New Zealand, Norway, Peru, Poland, Portugal, Puerto Rico, Romania, Singapore, Spain, Sweden, Thailand, Venezuela. Calls must originate from Canada. Any unused minutes will roll over to your next cycle. $15",,,,,,,,
1000 U.S. Long Distance Minutes⁶ $15,,,,,,,,
1000 U.K. Long Distance Minutes⁶ $15,,,,,,,,
750 India & Pakistan Long Distance Minutes $15,,,,,,,,
"500 China, Hong Kong, Taiwan and Macau Long Distance Minutes $15",,,,,,,,
,,,,,,,,
Coverage Information,,,,,,,,
"Available coverage: 5G, 4G/3G",,,,,,,,
,,,,,,,,
Terms and Conditions,,,,,,,,
"Network speeds vary with location, signal and customer device and customer rate plan. Compatible device required. Coverage areas are approximate. Actual coverage, network services and technology can vary and are subject to change.  Important: As of February 22nd, 2022, United States (U.S.) carriers have started turning down certain 3G/HSPA networks. As a result, customers using U.S. roaming add-ons will be impacted by differences in coverage or service quality (including 9-1-1 calls) when roaming in the U.S. Customers may also experience changes to services such as welcome messages, voicemail notifications, usage notifications for voice, notifications when trying to make an international call, interactive voice responses (IVR), as well as the ability to set up voicemail while in the U.S. This shutdown will not impact your service in Canada.",,,,,,,,
,,,,,,,,
PlanType,PlanName,Price,Features,SpecificationsStartingWithStar,SpecificationsStartingWithNumber,,,
INDIVIDUAL,5G Infinite Lite,39,"Access to 5G/5G+ network |50 GB at speeds up to 250 Mbps. Unlimited data at reduced speeds thereafter**|Unlimited calling, texting, picture/video messaging and data within Canada1|Unlimited international texting and picture/video messaging from Canada4|Mobile hotspot access - Using your plans data, your phone becomes a Wi-Fi connection for other devices such as laptops and tablets|Enhanced Voicemail5|Call and name display6|Call waiting, forwarding and group calling7|Access to Roam Like Home8|Spam Call Detect|Eligible for automatic payments ","A Setup Service Fee of $70 applies to setup your device and related services.  The Setup Service Fee is waived through self-serve on rogers.com (but not through Live Chat and Customer Service).  If you require device setup in-store thereafter, a $70 Setup Service Fee will apply.  Taxes extra.|* Rogers Infinite data plans include high-speed data up to the speeds (if applicable) and allotment indicated in your plan on the Rogers network, extended coverage areas within Canada, and Roam Like Home destinations (see rogers.com/roamlikehome). Once you have reached the high-speed data allotment of your plan, you will continue to have access to data services with no overage beyond the high-speed data allotment at a reduced speed of up to 512 kilobits per second (for both upload and download) until the end of your current billing cycle. Applications such as email, web browsing, apps, and audio/video streaming will continue to function at a reduced speed which will likely impact your experience. We will send you a text message notifying you when you have used 90% and 100% of the high-speed data allotment included in your plan with the option to purchase a Speed Pass to add more high-speed data to your plan. 5G/5G+network access requires a compatible device and a 5G SIM card in a covered area (see rogers.com/coverage). In all cases, usage is subject to the Rogers Terms of Service and Acceptable Use Policy.|** Rogers 5G Mobile and 4G Mobile plans with no data overage include high-speed data up to the amount included in your plan on the Rogers network, extended coverage areas within Canada, and Roam Like Home destinations (see rogers.com/roamlikehome). Once you have reached the high-speed data allotment of your plan, you will continue to have access to data services with no overage at a reduced speed of up to 256 kilobits per second (for both upload and download) until the end of your current billing cycle. Even applications that do not require high bandwidth (such as basic messaging and location-based services) may be affected by this speed reduction. Applications that will likely be significantly affected by this speed reduction are those that demand higher bandwidths (for example browsing and video streaming). We will send you a text message when you are close to reaching your monthly high-speed data allotment at no additional charge, with the option to purchase a Speed Pass to add more high-speed data to your plan. 5G/5G+network access requires a compatible device and a 5G SIM card in a covered area (see rogers.com/coverage). Plan requires registration for online billing. In all cases, usage is subject to the Rogers Terms of Service, Acceptable Use Policy, and Network Management Policy.|***Largest based on total square kilometers of Rogers 5G coverage compared to published coverage of other national networks. Rogers was ranked first in the umlaut Mobile Data Performance audit in 2022-2023. Visit https://www.umlaut.com/en/benchmarking/canada|± Where applicable, additional airtime, data, long distance, roaming, add-ons, provincial 9-1-1 fees (if applicable) and taxes are extra and billed monthly. However, there is no airtime charge for calls made to 9-1-1 from your Rogers mobile device. Plan includes calls and messages from Canada to [local/Canadian] numbers only. On the Rogers Network or in an Extended Coverage area, excluding calls made through Call Forwarding, Video Calling or similar services.","On the Rogers Network or in an Extended Coverage area excluding calls made through Call Forwarding, Video calling or similar services. Compatible device required. Includes unlimited text/picture/video messages sent from Canada to a Canadian mobile number and received texts from anywhere. Sent/received premium texts (alerts, messages related to content and promotions), sent international texts and sent/received picture/video messages (as applicable) while roaming are not included and charged at applicable rates.|On the Rogers Network, in an Extended Coverage area, in the U.S. or Mexico, excluding calls made through Call Forwarding, Video Calling or similar services. Plan includes calls from Canada, the U.S and Mexico to Canadian, U.S. and Mexican numbers only (calls from Canada to Puerto Rico and the U.S Virgin Islands are not included). Includes unlimited text/picture/video messages sent from Canada, the U.S. or Mexico to Canadian, U.S. or Mexican mobile numbers and received texts from anywhere. Includes messages sent from Canada, the U.S. or Mexico to email addresses. Sent/received premium texts (alerts, messages related to content and promotions), sent international text/picture/video messages and sent/received text/picture/video messages (as applicable) while roaming outside the U.S. or Mexico are not included and charged at applicable rates.|Compatible device required. Includes unlimited text/picture/video messages sent from Canada or the U.S. to Canadian or U.S mobile numbers and received texts from anywhere. Includes messages sent from Canada or the U.S. to email addresses. Sent/received premium texts (alerts, messages related to content and promotions), sent international texts and sent/received picture/video messages (as applicable) while roaming are not included and charged at applicable rates.|Plan includes unlimited text and picture/video messages sent from Canada to international numbers.|Enhanced Voicemail is a service that allows you to receive up to 35 messages each up to 5 minutes in length and you can save each one for up to 10 days.|Compatible device required. Call display allows you to see the number of an incoming caller even if they are not in your address book. Name Display allows you to see a caller’s name and number before answering the phone. Not all names and numbers can be identified. Connection to the Rogers network required for Name Display.|2500 Call forwarding minutes. Additional Call Forwarding minutes 10¢/minute (rounded to the next full minute).|Excluding prepaid accounts, most enterprise plans as well as monthly plans that include roaming services. Taxes extra. Roam Like Home daily fee is a Pay-Per-Use rate and subject to change without notice. Fee charged per line in addition to plan monthly fee and applies per calendar day from first use in eligible destination until 11:59:59 p.m. based on Eastern Time (ET) regardless of which time zone you are roaming in. Roaming charges apply when outside the eligible destination. Data: Usage exceeding plan allotment charged in increments rounded up to next MB or GB (as per plan). Texts: Includes texts sent to local mobile number while in eligible destination or to Canadian mobile number. Sent/received premium texts and sent international texts to destinations other than eligible destinations charged at applicable rates. Calls: While in eligible destination, includes unlimited calls to local numbers or Canadian numbers. International long distance rates apply to calls to other destinations. See rogers.com/terms for full terms and conditions and list of eligible destinations.|Purchase a tablet or smartwatch on financing and add the tablet or smartwatch to an eligible Rogers Infinite plan, and a monthly credit of $15 for the tablet or watch plan will be applied on your bill and will be applicable for 24 months. Full tablet plan and watch plan fees apply thereafter (currently $15/month, subject to applicable rate increases). This offer is available to customers activating a new line, completing a Price Plan Change or performing a hardware upgrade on non-discounted, consumer, in-market, Infinite Extra plan or above.|Offer(s) for a Rogers Disney+ subscription available for a limited time and subject to change without notice. Six (6) mo Rogers Disney+ subscription available to mobile customers activating a non-discounted, consumer, in-market Infinite Extra plan or above. See www.rogers.com/plans for current list of eligible plans. After your promotional period, the monthly fee for your Rogers Disney+ subscription will be charged to your applicable Rogers account, per subscription, plus applicable taxes (currently $11.99/mo). Note the following details as they relate to the Rogers Disney+ subscription offers and your existing Disney+ subscription, as applicable: (i) once your eligible Rogers services have been activated, you must sign up for your Rogers Disney+ subscription within 90 days; (ii) the promotional period for your Rogers Disney+ subscription will begin the day you sign up (so you must sign up immediately to take advantage of the full promotional period); (iii) if you sign up for multiple Rogers Disney+ subscriptions, the offers will run concurrently and cannot be combined to extend your promotional period; (iv) if you sign up for multiple Rogers Disney+ subscriptions, you will be billed for each separate subscription; (v) only one Rogers Disney+ subscription may be applied per Disney+ account, which allows for up to seven user profiles; (vi) if you have an existing Disney+ subscription directly with Disney, you can activate your Rogers Disney+ subscription using the same Disney+ account and billing through Disney for your existing Disney+ subscription will be paused; and (vii) if you have an existing Disney+ subscription through a third party, you must manage that subscription with that third party to avoid duplicate subscriptions and fees. For full offer details, including how your access to the offer may end, see Rogers Third-Party Subscription Terms-Disney+ available at rogers.com/terms.|A $10/month discount is available on eligible in-market consumer Rogers Infinite plans and 5G mobile plans to customers who set up Automatic Payments on their account (not retroactive). You must keep Automatic Payments active with an eligible plan to maintain this discount. Discount will end if you move to an ineligible plan or cancel Automatic Payments.|Roam Like Home is provided by Rogers Communications Canada Inc. (“Rogers”) and available to most Rogers customers with an eligible postpaid mobile plan (most enterprise plans, monthly plans that include roaming services as well as prepaid accounts are excluded). You will automatically be credited up to 5 Roam Like Home days per year on your Rogers bill once you link your Rogers Mastercard account to your Rogers postpaid account and eligible mobile plan. Both accounts must be in good standing. Unused Roam Like Home days at no cost do not carry over to the following year. See rogers.com/terms for full Roam Like Home terms and conditions.|For additional lines - The monthly service fee discount of $10 applies to new and existing customers adding a 2nd line or more additional lines to their Rogers Infinite plan. Excludes stick, hotspot, rocket hub, Talk & Text and Wireless Home Phone additional lines. May not be combined with any other monthly service fee discount offer unless specifically stated. Credit of $10/month for the 2nd line or more additional lines will appear on customer’s bill following activation and will be applied for as long as customer maintains eligibility. $10/month discount applied as a bill credit. Plan change will cancel the discount.|For additional lines - The monthly service fee discount of $15 applies to new and existing customers adding a 2nd line or more additional lines to their Rogers Infinite plan. Excludes stick, hotspot, rocket hub, Talk & Text and Wireless Home Phone additional lines. May not be combined with any other monthly service fee discount offer unless specifically stated. Credit of $15/month for the 2nd line or more additional lines will appear on customer’s bill following activation and will be applied for as long as customer maintains eligibility. $15/month discount applied as a bill credit. Plan change will cancel the discount.|Rogers or Shaw customers with an eligible home service activating a new mobile line. Discount is $15/mo. for a 5G Infinite plan. Discount will be removed if you move to an ineligible mobile plan or cancel your home services.|Plan includes 1000 long distance minutes from Canada. Available for the following countries: : India, China + Hong Kong (excluding Macau and Taiwan), the United Kingdom, Mexico, and Bangladesh.|Plan includes unlimited text and picture/video messages sent from Canada, the U.S. and Mexico to international numbers.|Plan includes 1000 long distance minutes from Canada, the U.S. and Mexico. Available for the following countries: : India, China + Hong Kong (excluding Macau and Taiwan), the United Kingdom, Mexico, and Bangladesh.",,,
